code,title,description
AAE 210,INTRODUCTION TO AEROSPACE ENGINEERING,"Topics will include the engineering fundamentals of aeronautics and astronautics, including an introduction to aerodynamics, propulsion, structures, orbital mechanics and mission planning. Current industry practices in aerospace vehicle specifications, manufacturing, flight testing and certification will be presented."
AAE 412,SPACE SYSTEMS ENGINEERING,"Introduction to space systems engineering. Topics will include the fundamentals of astronautics, orbital mechanics and trajectory design, flight dynamics, guidance and navigation, stability and control of spacecraft. Rocket propulsion concepts, including chemical rockets (liquid, gas and solid propellants), hybrid rocket engines and modern advances in satellite power systems will be discussed. Current design practices in space systems engineering will be emphasized."
ACTG 317,EXTERNAL REPORTING I,"Examines the theory and practice of financial accounting, the processing and controls phases of the accounting system, and reporting to external parties. Emphasis is placed on the accounting cycle and financial statement structure and content. The emphasis on the accounting cycle includes the processing and tracing of transaction data from source documents to financial statements."
ACTG 317,EXTERNAL REPORTING I,"Examines the theory and practice of financial accounting, the processing and controls phases of the accounting system, and reporting to external parties. Emphasis is placed on the accounting cycle and financial statement structure and content. The emphasis on the accounting cycle includes the processing and tracing of transaction data from source documents to financial statements."
ACTG 317,EXTERNAL REPORTING I,"Examines the theory and practice of financial accounting, the processing and controls phases of the accounting system, and reporting to external parties. Emphasis is placed on the accounting cycle and financial statement structure and content. The emphasis on the accounting cycle includes the processing and tracing of transaction data from source documents to financial statements."
ACTG 317,EXTERNAL REPORTING I,"Examines the theory and practice of financial accounting, the processing and controls phases of the accounting system, and reporting to external parties. Emphasis is placed on the accounting cycle and financial statement structure and content. The emphasis on the accounting cycle includes the processing and tracing of transaction data from source documents to financial statements."
ACTG 420,IT AUDITING,"Explores key information systems issues such as planning, acquisition, delivery, and monitoring from a risk and control perspective. Students learn to use IT audit standards, guidelines, and frameworks and build data analysis tool skills."
ACTG 424,TAXATION I,"Covers concepts related to business taxation and focuses primarily on 1) basic income tax law as it relates to businesses, 2) the role of income taxes in decision making processes, and 3) basic income tax research. In addition, the course is intended to assist students in preparation to become a professional, and thus contains components designed to aid in the development of technical, analytical, problem-solving and communication skills."
ACTG 424,TAXATION I,"Covers concepts related to business taxation and focuses primarily on 1) basic income tax law as it relates to businesses, 2) the role of income taxes in decision making processes, and 3) basic income tax research. In addition, the course is intended to assist students in preparation to become a professional, and thus contains components designed to aid in the development of technical, analytical, problem-solving and communication skills."
ACTG 427,ASSURANCE AND ATTESTATION SERVICES,"Assertions of enterprises gain credibility when examined by an independent third party. Assurance and attestation provide credibility. Coverage includes ethics, risk, materiality, internal control, evidence and reporting."
AEC 121,DISCOVERING AGRICULTURAL AND RESOURCE ECONOMICS,"Explore issues, opportunities, and challenges in the dynamic and diverse employment field of agricultural and resource economics."
AEC 199,SPECIAL TOPICS: ST/THE PANDEMIC & THE ECONOMY,Targeted courses that focus on specific topics in agricultural and resource economics. Topics may vary from term to term and from year to year. May be repeated for credit when topics differ.
AEC 250,*INTRODUCTION TO ENVIRONMENTAL ECONOMICS AND POLICY,Examines how economic forces and social institutions cause environmental degradation and help build management solutions. Explains key economic concepts for valuing environmental resources and evaluating the trade-offs of alternative management approaches from private markets to regulation. Applies the concepts and theories to topical environmental issues such as water pollution and conserving biodiversity. (Bacc Core Course)
AEC 250,*INTRODUCTION TO ENVIRONMENTAL ECONOMICS AND POLICY,Examines how economic forces and social institutions cause environmental degradation and help build management solutions. Explains key economic concepts for valuing environmental resources and evaluating the trade-offs of alternative management approaches from private markets to regulation. Applies the concepts and theories to topical environmental issues such as water pollution and conserving biodiversity. (Bacc Core Course)
AEC 251,*INTRODUCTION TO AGRICULTURAL AND FOOD ECONOMICS,"An introductory applied microeconomics course focused on the unique challenges of agricultural and food systems. Topics include rational choice theory, models of supply and demand, and price formation, with particular attention on markets for agricultural and food products. Additional topics include market interdependencies, government policy, the behavior of firms, and market structure within agricultural and food systems. (Bacc Core Course)"
