name,productUrl,image,price,priceShow,ratingScore,location
Colors Cl101 Keypad Phone With Wireless Fm & Vibator,//www.daraz.com.np/products/colors-cl101-keypad-phone-with-wireless-fm-radio-i103462423-s1024198562.html?search=1,https://static-01.daraz.com.np/p/3e7b5f2c2032b5dd9e89a012c754fc2c.jpg,1100.00,"Rs. 1,100",0,Nepal
Apple iPhone 7 Plus 128GB,//www.daraz.com.np/products/apple-iphone-7-plus-128gb-i28274-s1023903042.html?search=1,https://static-01.daraz.com.np/p/e3c77efcf08b45c1e3b4417c30823fb6.jpg,58000.00,"Rs. 58,000",0,Bagmati
"Samsung Galaxy M31 [128GB ROM 64MP + 8MP + 5MP + 5MP rear camera | 32MP front facing camera, 6000mAh Battery]",//www.daraz.com.np/products/samsung-galaxy-m31-128gb-rom-64mp-8mp-5mp-5mp-rear-camera-32mp-front-facing-camera-6000mah-battery-i104064074-s1024862130.html?search=1,https://static-01.daraz.com.np/p/3a4d18d940227633b5caf416bc83dc07.jpg,35699.00,"Rs. 35,699",0,Nepal
Oppo A5S [2GB Ram + 32GB Rom],//www.daraz.com.np/products/oppo-a5s-2gb-ram-32gb-rom-i101260254-s1022002312.html?search=1,https://static-01.daraz.com.np/p/32eea7d7437d3b4747ca35300ae067d9.jpg,16790.00,"Rs. 16,790",4,Nepal
Samsung Galaxy M21 // 48MP (F2.0) Main Camera +8MP (F2.2) Ultra Wide Camera +5MP(F2.2) Depth Camera | 20MP (F2.2) front facing camera,//www.daraz.com.np/products/samsung-galaxy-m21-48mp-f20-main-camera-8mp-f22-ultra-wide-camera-5mpf22-depth-camera-20mp-f22-front-facing-camera-i104056497-s1024838873.html?search=1,https://static-01.daraz.com.np/p/7ad9ce5689577f2f552b8d9be16d96ab.jpg,22999.00,"Rs. 22,999",0,Nepal
Vivo Y12 3GB RAM 64GB Memory 5000mAh Battery with triple Camera,//www.daraz.com.np/products/vivo-y12-3gb-ram-64gb-memory-5000mah-battery-with-triple-camera-i101390767-s1022184696.html?search=1,https://static-01.daraz.com.np/p/079b8bc0e060d63948224aa2b5dbed98.jpg,20961.00,"Rs. 20,961",0,Nepal
"Samsung M21 [4GB//64GB or 6GB//128GB] -48MP Tripple Rear Camera, 6000mAH Monster Battery",//www.daraz.com.np/products/samsung-m21-4gb64gb-or-6gb128gb-48mp-tripple-rear-camera-6000mah-monster-battery-i104068045-s1024862144.html?search=1,https://static-01.daraz.com.np/p/9e3b22078f459eb216e6d7f6c789a083.jpg,27499.00,"Rs. 27,499",0,Nepal
Samsung A21s / 4GB / 64GB,//www.daraz.com.np/products/samsung-a21s-4gb-64gb-i104080140-s1024884568.html?search=1,https://static-01.daraz.com.np/p/f4f42cfda843ea21b288d5fccf6aa132.jpg,24999.00,"Rs. 24,999",0,Nepal
Nokia 105 Barphone Single Sim,//www.daraz.com.np/products/nokia-105-barphone-single-sim-i104106524-s1024936529.html?search=1,https://static-01.daraz.com.np/p/08739692f79c5b3506bacd7b3ec46948.jpg,1799.00,"Rs. 1,799",0,Nepal
Nokia 105 Single Sim (2019) 4Th Edition,//www.daraz.com.np/products/nokia-105-single-sim-2019-4th-edition-i104048524-s1024844349.html?search=1,https://static-01.daraz.com.np/p/fb6a501828b17d2490c91f26cbd42d4a.jpg,2155.00,"Rs. 2,155",0,Nepal
micromax X372,//www.daraz.com.np/products/micromax-x372-i104076521-s1024894126.html?search=1,https://static-01.daraz.com.np/p/b6ac9e377549cb8a03cbc63d69c1b11c.jpg,980.00,Rs. 980,0,Nepal
Nokia 3310,//www.daraz.com.np/products/nokia-3310-i104112520-s1024940201.html?search=1,https://static-01.daraz.com.np/p/456028ec30288b0149561cdc59bf26f0.jpg,5750.00,"Rs. 5,750",0,Nepal
iTel P11 RAM 1 And  ROM 8,//www.daraz.com.np/products/itel-p11-ram-1-and-rom-8-i101404728-s1022208389.html?search=1,https://static-01.daraz.com.np/p/eb73a733f6d6d28c74b26f9b7b88c34e.jpg,10050.00,"Rs. 10,050",0,Nepal
Pearltech Pride 2 Dual Sim 2.4 Display Facebook Compatible Phone,//www.daraz.com.np/products/pearltech-pride-2-dual-sim-24-display-facebook-compatible-phone-i102958725-s1023702101.html?search=1,https://static-01.daraz.com.np/p/8852ac99c9caa0af15cacf024a36b348.jpg,1500.00,"Rs. 1,500",0,Nepal
Salora C1,//www.daraz.com.np/products/salora-c1-i100798725-s1021304400.html?search=1,https://static-01.daraz.com.np/p/aa25953b5a29f98a005c119e8d8cf958.jpg,1700.00,"Rs. 1,700",0,Nepal
Opal Wind E28 2.8  Display 2000 mAH Battery Phone,//www.daraz.com.np/products/opal-wind-e28-28-display-2000-mah-battery-phone-i102959723-s1023700000.html?search=1,https://static-01.daraz.com.np/p/a2d3c3c9691aafc2ff9563697494b0ca.jpg,2000.00,"Rs. 2,000",0,Nepal
ONYX MINI SIM MOBILE PHONE (6850MAH) POWER BANK FUNCTION,//www.daraz.com.np/products/onyx-mini-sim-mobile-phone-6850mah-power-bank-function-i30768-s1021084517.html?search=1,https://static-01.daraz.com.np/p/dc21bbd9896d871e5e1a75156cbe9943.jpg,3000.00,"Rs. 3,000",3,Bagmati
Diamond D632 Dual Sim Phone,//www.daraz.com.np/products/diamond-d632-dual-sim-phone-i102962760-s1023706083.html?search=1,https://static-01.daraz.com.np/p/d2494bab6b1c9f9ad05ac55eaaa029df.jpg,1500.00,"Rs. 1,500",0,Nepal
Vivo Y30 / 4GB / 128GB,//www.daraz.com.np/products/vivo-y30-4gb-128gb-i104078218-s1024872968.html?search=1,https://static-01.daraz.com.np/p/5a43f46f9f87185215f93834f6ca2683.png,24509.00,"Rs. 24,509",0,Nepal
Realme C1 RAM 2 And ROM 16 GB,//www.daraz.com.np/products/realme-c1-ram-2-and-rom-16-gb-i101386218-s1022164804.html?search=1,https://static-01.daraz.com.np/p/9180f9f09857834c3fc966080e183844.jpg,14000.00,"Rs. 14,000",0,Nepal
MAXXAGE RD 01 1200 Black Green Dual SIM Mobile with 1050 MAH Battery with ONE Year Warranty,//www.daraz.com.np/products/maxxage-rd-01-1200-black-green-dual-sim-mobile-with-1050-mah-battery-with-one-year-warranty-i104040214-s1024810850.html?search=1,https://static-01.daraz.com.np/p/fc2ef516a6faca0747c6ca3084652363.jpg,1200.00,"Rs. 1,200",0,Nepal
Mi 10 [8GB RAM // 256GB ROM] - 108MP Quad Camera with OIS,//www.daraz.com.np/products/mi-10-8gb-ram-256gb-rom-108mp-quad-camera-with-ois-i104044849-s1024846635.html?search=1,https://static-01.daraz.com.np/p/3eab9e1ed0c5901fb0151aa03bb62828.jpg,89999.00,"Rs. 89,999",0,Nepal
