title,price,thumbnail_url,image_url,DP Type,Brand,Content,Type
Apple Green Approx. 1Kg,INR 218.90,https://www.luluhypermarket.in/medias/10546-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMzU2fGltYWdlL2pwZWd8aGQ1L2hjZS84ODQ4NDAxMTA0OTI2LzEwNTQ2LTAxLmpwZ185Nld4OTZIfDczMDBiZTA3Y2I2ZGUzNWQzMTk4ZWY1MGZlZWE5YWJhMDI4MzNhZGEwOTU3ZDE1ZmI4MjQyMzQ1ZTFhMmI4Yjg,https://www.luluhypermarket.in/medias/10546-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3wyOTA2N3xpbWFnZS9qcGVnfGgxNi9oY2IvODg0ODQwMTIzNTk5OC8xMDU0Ni0wMS5qcGdfNTE1V3g1MTVIfGRmYmJhZWJhNjYxYWI3MTVkYzU5Nzc2NWFkMTNkN2RkYTFjNzRiZDczM2RjNzhiM2U1MGM2NWYwMGNmODY1NDI,Grocery,LULU,0.9-1 kg,Apple
Beetroot Approx. 500g,INR 32.70,https://www.luluhypermarket.in/medias/7725-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNTY5fGltYWdlL2pwZWd8aDg3L2g0Ni84ODQ4ODMxMjUwNDYyLzc3MjUtMDEuanBnXzk2V3g5Nkh8ZGEwZjkxNGM1YTcwZWY2ZDM1MWUwZDE2OWQ2NmRmZmZmNTdkZDExYjZjY2JiNGMxNzM2YmZkN2RkY2MyZGFhYQ,https://www.luluhypermarket.in/medias/7725-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3wzNjUyMnxpbWFnZS9qcGVnfGg0Ny9oNGEvODg0ODgzMTM4MTUzNC83NzI1LTAxLmpwZ181MTVXeDUxNUh8ZWY2OWVlMzkxZjYzMGE1NjA2ZjcxYTYzZTIzYzk1MTEzZWNjY2FmMjY3MzBkYmZjOTc2YmQ3NDBkMmY4Zjk3MQ,Grocery,Lulu,1 Kg,Vegetables
Brinjal Purple Striped Approx. 500g,INR 25.50,https://www.luluhypermarket.in/medias/10809-001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNzU1fGltYWdlL2pwZWd8aGI3L2g2ZS84ODQ4ODQ5NTM1MDA2LzEwODA5LTAwMS5qcGdfOTZXeDk2SHw1MDMyZTZkYzA1YjQzYWQxZWEyZTlkOGUxZGY3ODZlODM1YTIzNjJiMWNmZDFjMTBmNzliYWQzMmIyY2VjMDM0,https://www.luluhypermarket.in/medias/10809-001.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3w0NzIwNXxpbWFnZS9qcGVnfGg3Ni9oNzIvODg0ODg0OTY2NjA3OC8xMDgwOS0wMDEuanBnXzUxNVd4NTE1SHw1ZmM2ODNkMTVkN2MwYjgzMjNjOTYxZWZkMDEwNDIwYzc1NDNlZGY5Yjg1NWQ5NTRiNTUzNzA2ZGQ5MTExNDhk,Grocery,Lulu,500g - 600g,Vegetables
Onion 2.5kg Bag,INR 56.50,https://www.luluhypermarket.in/medias/9082-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w3ODYyfGltYWdlL2pwZWd8aDQxL2g1MS84ODQ4Nzc5MzQ1OTUwLzkwODItMDEuanBnXzk2V3g5Nkh8MmFmMzMyZjkxMzhhYWE1MzgyOTQ0OTIzMzZjNGNiN2YzODcyN2ZhMDU1OTA5NTRhYmY5YzA1ZDdjOGZlZjMyMw,https://www.luluhypermarket.in/medias/9082-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3w2NjA3NXxpbWFnZS9qcGVnfGg4MS9oNGQvODg0ODc3OTQ3NzAyMi85MDgyLTAxLmpwZ181MTVXeDUxNUh8Y2JlNDcyOGI4N2Q1ZGYxZjhkYzI5NTUyZDY0YTlkZDNiODQ1YmU3MDYzMDA4YTRhZDMzNzg3MTk5ZDZjNDMxMA,Grocery,Lulu,2.5 Kg,Vegetables
Chilli Green Approx. 250g,INR 17.85,https://www.luluhypermarket.in/medias/7582-0001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxNzk2fGltYWdlL2pwZWd8aDQxL2g1NC84ODUwMjQ1MTI0MTI2Lzc1ODItMDAwMS5qcGdfOTZXeDk2SHxkZjYwYTkwNWRhNzE1YWM2NjI2NGM0MTAyZDhkMjE5NDA1YzY0NWRiZWIzYTViMTk3YTdlMDRhZWI2NGJiZjAz,https://www.luluhypermarket.in/medias/7582-0001.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3wyMDU0NHxpbWFnZS9qcGVnfGg4Mi9oNTAvODg1MDI0NTI1NTE5OC83NTgyLTAwMDEuanBnXzUxNVd4NTE1SHwwYzYwOWU4YmYwZmNhNTJiMjhkZTk0M2Q0NWY5N2NjNjlkZDRlNzk5OGJlODhlOWVhZjQzZTk0NTA5NTk0ZGY2,Grocery,Lulu,250 Gm,Vegetables
Coconut 1 Pc,INR 24.50,https://www.luluhypermarket.in/medias/7669-001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wzMTQxfGltYWdlL2pwZWd8aDk4L2g0OC84ODUwMjkwNTQwNTc0Lzc2NjktMDAxLmpwZ185Nld4OTZIfDljY2I3YjZiNDU0MDk0MDU3MGI1NTYxNDAyYzE2Y2M5MTFjZjZkYTExYmFiNTUyYzJjNGU2MDQ0ZDY4ZjE1NGY,https://www.luluhypermarket.in/medias/7669-001.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3w0OTk0MXxpbWFnZS9qcGVnfGhkOS9oNDQvODg1MDI5MDY3MTY0Ni83NjY5LTAwMS5qcGdfNTE1V3g1MTVIfGMyN2FkZTI4OTdiMjAxZDExM2MxYTY1YjkyNDQxMjMxMWRkYmJhOTljYjQwNWJhZWQ4NWEzZmU0NjMwMmRlNmE,Grocery,Lulu,1 Pc,Vegetables
Lime Approx. 250g,INR 11.70,https://www.luluhypermarket.in/medias/10683-001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNDQ3fGltYWdlL2pwZWd8aGM5L2gyMi84ODQ4Nzg4NzgzMTM0LzEwNjgzLTAwMS5qcGdfOTZXeDk2SHxkODEyNzg2YWE0ZTljYWM1YTc4NWMyNzA5MmE3NzFjMmUyOThmNDc1NDg5N2IwY2NiZDZmYjc3NDI5MWNmNGI5,https://www.luluhypermarket.in/medias/10683-001.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3wzMzA4MXxpbWFnZS9qcGVnfGhkOC9oMjgvODg0ODc4ODkxNDIwNi8xMDY4My0wMDEuanBnXzUxNVd4NTE1SHxiZGVlYWQ3ZTgyMWViNmE1ZjgzMDU1NmFjZTY2YTY0OGM5YjUyMmE2NmQyZmNhMDI4NjFkZTA2NDI4YTM2N2Jm,Grocery,LULU,250 Gm,Lime
Mushroom Button Box 1 Packet,INR 69.50,https://www.luluhypermarket.in/medias/10606-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w5MTkwfGltYWdlL2pwZWd8aGFkL2g2MC84ODUwNjU2ODIxMjc4LzEwNjA2LTAxLmpwZ185Nld4OTZIfDA3ZDE4NjU4NzlhN2Q3NGRhYTIxYzI0MDMwODA0NWI5MjQ1NzU0MGZhNzA2ZDg4ZGNkMTQwODdmY2Q5OWFlMzE,https://www.luluhypermarket.in/medias/10606-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3w2MzE1MnxpbWFnZS9qcGVnfGhlZS9oNWMvODg1MDY1Njk1MjM1MC8xMDYwNi0wMS5qcGdfNTE1V3g1MTVIfDFlNDAwOTBmN2UyZGFmMmRkOWRiMDI2MzVlZDlhMTJmOWIxYzQzOWVjMDIwMzU0YjE1ZGNhMWEwMDI4YWJlZmE,Grocery,Lulu,1 Packet,Vegetables
Bush Beans Approx. 500g,INR 35.70,https://www.luluhypermarket.in/medias/9094-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wxMTQ5NXxpbWFnZS9qcGVnfGhhOS9oNWMvODg0OTYzMjg4NjgxNC85MDk0LTAxLmpwZ185Nld4OTZIfDg0YmU2YzUxYjQwMGNkZDQyYTE2ODUxZDY1YmZkY2Y3MTFhOWJiYzYyODljOTJlMGE5ZTlhOTNkOWNhNjBhNGM,https://www.luluhypermarket.in/medias/9094-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3wyODYxOHxpbWFnZS9qcGVnfGg2NC9oYWEvODg0OTYzMzAxNzg4Ni85MDk0LTAxLmpwZ181MTVXeDUxNUh8YmIwYTIyMGQ0ZjRiYTMyZWNlYjE3ZGI3MGFhMzkzYWM4ZmY3OWRkNmE2ODAwYmVjZDI3ZTY3NDQ1ODlmMDI0NQ,Grocery,Lulu,500 Gm,Vegetables
Tomato Approx. 500g,INR 29.70,https://www.luluhypermarket.in/medias/7649-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyODY5fGltYWdlL2pwZWd8aDM5L2gyYy84ODYyMzMyNjgyMjcwLzc2NDktMDEuanBnXzk2V3g5Nkh8MTlmYWY1N2ZmN2VlMmQwMzMxMDFiYThlMjE4MjBmNzI1MDAyM2JkNjkwOTk5NGQ0YWU5YWRiMzVkOTA0ODNkOA,https://www.luluhypermarket.in/medias/7649-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3wyNzAxMXxpbWFnZS9qcGVnfGgyYS9oMjYvODg2MjMzMjgxMzM0Mi83NjQ5LTAxLmpwZ181MTVXeDUxNUh8YjAyZjMxNDhhMmI5ODlkNTc5Njc0NjE5MGFlOTlmZWZlN2I1ODAxNzM1YTVkMDFlNmEyNmI1N2Y0NTlkYmVjNg,Grocery,Lulu,1 Kg,Vegetables
Orange Valencia Approx. 1Kg,INR 154.80,https://www.luluhypermarket.in/medias/10708-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNTE3fGltYWdlL2pwZWd8aDQyL2hhNS84ODQ5MTU4NjY4MzE4LzEwNzA4LTAxLmpwZ185Nld4OTZIfDExYTc0NDE5MTQyNmVhYTk2NDEyNzdmM2E2YzVlYmI1YmQxZGFiMzkxMTIzYzY3NmJkZTJhYTllYjI3M2Q2YWQ,https://www.luluhypermarket.in/medias/10708-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3wzMjA5OXxpbWFnZS9qcGVnfGgwMi9oYTkvODg0OTE1ODc5OTM5MC8xMDcwOC0wMS5qcGdfNTE1V3g1MTVIfDQ3MWFiNzExMmYxYjFiYTk2MWI4NzQ2MGIxOGRhYzNkMGNiNDdkMjI5MDkyY2ZkNDdjNGFhNGE2NzljNmYzNjg,Grocery,LULU,0.95 kg -1.05 kg,Orange
Sprout Green Gram 1 Packet,INR 29.50,https://www.luluhypermarket.in/medias/7683-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyMzI4OHxpbWFnZS9qcGVnfGg0Ny9oZWEvODg0OTAzMTIwMDc5OC83NjgzLTAxLmpwZ185Nld4OTZIfGIzOTc1MWI1YzYzNGU0MzJiM2VkNTc0YTg5MWEyYWQzNzRhYzhhMTM3OGViNjJkZDkyYThjZGJhMTUyOTNjMzk,https://www.luluhypermarket.in/medias/7683-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3w4NzU1OXxpbWFnZS9qcGVnfGgwNi9oZWUvODg0OTAzMTMzMTg3MC83NjgzLTAxLmpwZ181MTVXeDUxNUh8NWY5MzlmZTA2YzdmM2UyMDM3MjNjNzgzZTdmOWRiMjIyOGQ3NDdiZmVlOTQ2NTk1ZjM3NzY0MDg1OGYwZGMyYQ,Grocery,Lulu,1 Packet,Vegetables
Capsicum Green Approx. 500g,INR 59.70,https://www.luluhypermarket.in/medias/7572-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNjEzfGltYWdlL2pwZWd8aGE2L2hkMC84ODQ4NzM2Mjg4Nzk4Lzc1NzItMDEuanBnXzk2V3g5Nkh8ZDc2OTFkNmVhZjY4ODNiNTVmMTZmODFmMjhiMzgxNTU4YTVhYzYzNDgyNzllYmRlZWZmMDg5NDA2ZGVhY2ViOQ,https://www.luluhypermarket.in/medias/7572-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3wzMTA4NHxpbWFnZS9qcGVnfGg5Ny9oY2EvODg0ODczNjQxOTg3MC83NTcyLTAxLmpwZ181MTVXeDUxNUh8Zjk0OWFiOGQ3YjVjMDkxYWVjZDljNzU1OWJmYTJjNzZmNzA3ZjU3OTc3ZDVkNDBmMTU1OTY1ZDRhYzkxNWJiMQ,Grocery,Lulu,500g-600g,Vegetables
Apple Royal Gala New Zealand Approx. 1Kg,INR 229.90,https://www.luluhypermarket.in/medias/10613-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3w1OTU1fGltYWdlL2pwZWd8aDgzL2gyNC84ODg3MDU3Mjg1MTUwLzEwNjEzLTAxLmpwZ185Nld4OTZIfDRmZTE0OGU3YTE2Y2UwNjcyMjE0MDcxYjVhNzNmMjI3ZmMwZDhkMDMxNzE5NWE0NGMwZTcxZDhiNzRkNGFjMzU,https://www.luluhypermarket.in/medias/10613-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3w0NTg3M3xpbWFnZS9qcGVnfGg3NC9oMWUvODg4NzA1NzQxNjIyMi8xMDYxMy0wMS5qcGdfNTE1V3g1MTVIfDg4ZjNhMzBhYjJjNTk4NTI0Zjk4MDk2ZmI0MjAzMDYwMWMyMDc2OTI2MWMyZmRhODExOTYzNWM1NTBkYzUyZTA,Grocery,,1 kg,
Bitter Gourd White Approx. 500g,INR 29.70,https://www.luluhypermarket.in/medias/9116-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNDc2fGltYWdlL2pwZWd8aDkzL2hjNS84ODQ4NTkwMDEyNDQ2LzkxMTYtMDEuanBnXzk2V3g5Nkh8YTUzNmNhZGY0OGMxMWExZjg3N2Q1NjA3NmE5MTEzMzQ4Yjc3MTMyZTM3ODQyYjIyMDk4YTUxNGY0Yzg3NTg1NA,https://www.luluhypermarket.in/medias/9116-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3wzNDM1OHxpbWFnZS9qcGVnfGhkNC9oYzEvODg0ODU5MDE0MzUxOC85MTE2LTAxLmpwZ181MTVXeDUxNUh8ZmY4MWE5MWIwODI4YWFhZWEwOTRiMjk0OTRiZDQ5ZTA5OTk2NTAxNzQxMjBlOGMzZGZlNTQ4YjUyYzk2YzY0MQ,Grocery,Lulu,500g - 600g,Vegetables
Green Nendran Banana Approx. 1Kg,INR 49.50,https://www.luluhypermarket.in/medias/9148-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyODU0fGltYWdlL2pwZWd8aDg5L2g0NS84ODYyMjAyOTIwOTkwLzkxNDgtMDEuanBnXzk2V3g5Nkh8NjA5YzQ1OTA5Y2I4YjhjZTRhNmZlOTZjYTZlOTM3ZjJjZTU5ODAxMzI0MmNiOWI1ODk1NWQ2MDhmYTY5MTI4ZQ,https://www.luluhypermarket.in/medias/9148-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3wzNzU4NnxpbWFnZS9qcGVnfGhmNC9oOTAvODg2MjIwMzA1MjA2Mi85MTQ4LTAxLmpwZ181MTVXeDUxNUh8MWViNjY5MTBmYTY0MDUwMDI3ZThmZDhmNWNmZTY0NzE3NjAyZGU2NmRjMTQzMDc5N2IxMDRhNGNlYzdlZjc0NA,Grocery,Lulu,1 Kg,Vegetables
Onion Red Approx. 1Kg,INR 21.45,https://www.luluhypermarket.in/medias/192392-01.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNzA2fGltYWdlL2pwZWd8aDczL2gxYS84ODQ5OTIwMTMxMTAyLzE5MjM5Mi0wMS5qcGdfOTZXeDk2SHxlMjBmZmUzNmEzMWFlZmExMjk1YTkzNWUyNzY2MzVkMzQ0ZWQ1ODEzY2JjODk3NDlmZDNiZWQ2ZTkzMzFmOWQw,https://www.luluhypermarket.in/medias/192392-01.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3wzNjkzOXxpbWFnZS9qcGVnfGgzMi9oMWUvODg0OTkyMDI2MjE3NC8xOTIzOTItMDEuanBnXzUxNVd4NTE1SHw5ZTQxMTA2ZmE5NDE3YTNkMThlOTdlYzk1NTMwZWFjZDc5ZmFiNTU1NDg1YTRjYWEzNWRkYTZhZjc1Y2I1YjJl,Grocery,Lulu,1 Kg,Vegetables
Small Onion 500gm,INR 29.50,https://www.luluhypermarket.in/medias/10808-001.jpg-96Wx96H?context=bWFzdGVyfGltYWdlc3wyNTAwfGltYWdlL2pwZWd8aGU1L2g5MC84ODQ5MTU4MDc4NDk0LzEwODA4LTAwMS5qcGdfOTZXeDk2SHw1OGJiYTYwODQ4MzUxNzMzYzI4ZDRlZTAxNTA0MTZkZGI1NzQxYzhlMjBlNDU4OGIyMDUxNmU2NDExMWI5Yjk5,https://www.luluhypermarket.in/medias/10808-001.jpg-515Wx515H?context=bWFzdGVyfGltYWdlc3wzNzkyNHxpbWFnZS9qcGVnfGhmNC9oOTYvODg0OTE1ODIwOTU2Ni8xMDgwOC0wMDEuanBnXzUxNVd4NTE1SHxlYWMyYWQ4OTViNTM5YWRkZTFiODVjMzI5MDFhYTQ0NWQyNzIwNGNkYzg1MzMwMWNiYmUyN2Q0MTIxMzMzOGUz,Grocery,Lulu,500 Gm,Vegetables
